cidade,provincia
A Coruña, A Coruña
Santiago, A Coruña
Ferrol, A Coruña
Lugo, Lugo
Monforte, Lugo
Pontevedra, Pontevedra
Vigo, Pontevedra
Ourense, Ourense
O Barco, Ourense
